epsilon,dp_accuracy,lambda,accuracy,size
0.001,0.6409817302479281,0.1,0.6965138593667978,464809
1.0,0.6966429438138431,0.05,0.696660155073449,464809
0.8,0.69663433818404,0.05,0.696660155073449,464809
0.5,0.696625732554237,0.05,0.696660155073449,464809
0.1,0.6973227885682813,0.05,0.696660155073449,464809
0.08,0.6966945775926611,0.05,0.696660155073449,464809
0.05,0.695610268237481,0.05,0.696660155073449,464809
0.01,0.6987943512645973,0.05,0.696660155073449,464809
0.005,0.6941989449497862,0.05,0.696660155073449,464809
0.001,0.6493205855270519,0.05,0.696660155073449,464809
1.0,0.6957737752037383,0.01,0.695610268237481,464809
0.8,0.6957135357951172,0.01,0.695610268237481,464809
0.5,0.6963245355111314,0.01,0.695610268237481,464809
0.1,0.6940440436133318,0.01,0.695610268237481,464809
0.08,0.6955672400884658,0.01,0.695610268237481,464809
0.05,0.6942591843584073,0.01,0.695610268237481,464809
0.01,0.6103198712597782,0.01,0.695610268237481,464809
0.005,0.5678166656626765,0.01,0.695610268237481,464809
0.001,0.24997633451804172,0.01,0.695610268237481,464809
1.0,0.6890011445487638,0.001,0.6917463404559263,464809
0.8,0.6889150882507337,0.001,0.6917463404559263,464809
0.5,0.6884762011307798,0.001,0.6917463404559263,464809
0.1,0.6337443955835907,0.001,0.6917463404559263,464809
0.08,0.6416443637427605,0.001,0.6917463404559263,464809
0.05,0.5464919150108001,0.001,0.6917463404559263,464809
0.01,0.27677426572463704,0.001,0.6917463404559263,464809
0.005,0.26155090660309976,0.001,0.6917463404559263,464809
0.001,0.17240518747364525,0.001,0.6917463404559263,464809
